BioSample,Location,Isolation source,Isolate,Collection date,MLST,SNP cluster,tdh,trh,Toxigenic
SAMN40218056,USA,,PDT002094815.1,2022,36,PDS000007553.295,81.75,100,yes double
SAMN04441014,Canada: British Columbia,clinical sample from patient with gastroenteritis,PDT000124307.1,2000,638,,81.93,100,yes double
SAMN13747320,USA: MA,feces,PDT002128291.1,2013,36,PDS000007553.295,82.63,90.18,yes double
SAMN07338148,China: Guangxi,fish,PDT000526625.1,2014,3,,83.68,.,yes
SAMN07338135,China: Guangxi,fish,PDT000526644.1,2014,3,PDS000112564.72,83.68,.,yes
SAMN20353079,China: Shenzhen,patient,PDT001333356.1,5/5/2015,3,PDS000112564.72,84.04,.,yes
SAMN07338145,China: Guangxi,water,PDT000526618.1,2014,3,PDS000112564.72,84.39,.,yes
SAMN07338149,China: Guangxi,fish,PDT000526624.1,2014,3,,85.09,.,yes
SAMN07338147,China: Guangxi,water,PDT000526628.1,2014,3,,85.09,.,yes
SAMN07338214,China: Guangxi,water,PDT000526553.1,2014,3,,85.79,.,yes
SAMN07338153,China: Guangxi,water,PDT000526614.1,2014,3,PDS000112564.72,85.79,.,yes
SAMN07338152,China: Guangxi,fish,PDT000526640.1,2014,3,PDS000112564.72,85.79,.,yes
SAMN07338141,China: Guangxi,water,PDT000526643.1,2014,3,PDS000112564.72,85.79,.,yes
SAMN01923802,,,PDT000023015.2,,3,PDS000112564.72,87.37,.,yes
SAMN01923894,,,PDT000028631.2,,3,PDS000112564.72,87.37,.,yes
SAMN01923896,,,PDT000023533.2,,87,PDS000009511.2,87.37,.,yes
SAMN01923897,India,stool,PDT000020611.2,2009,3,PDS000112564.72,87.37,.,yes
SAMN01923903,Bangladesh,water,PDT000020610.2,2008,3,PDS000112564.72,87.37,.,yes
SAMN01924111,India,stool,PDT000020601.2,2009,3,PDS000112564.72,87.37,.,yes
SAMN01924113,,,PDT000022340.2,,3,PDS000112564.72,87.37,.,yes
SAMN01924275,,,PDT000020042.2,,479,PDS000007501.1,87.37,.,yes
SAMN01933054,,,PDT000028598.2,,3,PDS000112564.72,87.37,.,yes
SAMN02368289,USA,stool,PDT000149141.1,24/2/2007,3,PDS000112564.72,87.37,.,yes
SAMN02368298,USA,stool,PDT000149148.1,16/9/2006,3,PDS000112564.72,87.37,.,yes
SAMN02368299,USA,stool,PDT000149149.1,16/9/2006,3,PDS000112564.72,87.37,.,yes
SAMN02368300,USA,stool,PDT000149150.1,15/5/2007,3,PDS000112564.72,87.37,.,yes
SAMN02368321,USA,stool,PDT000149162.1,8/8/2007,2516,PDS000112534.14,87.37,.,yes
SAMN02368330,USA,stool,PDT000149165.1,19/9/2007,189,,87.37,.,yes
SAMN02368334,USA,stool,PDT000149171.1,6/10/2007,3,PDS000112564.72,87.37,.,yes
SAMN03358828,USA,stool,PDT000149132.1,1/10/2006,3,PDS000112564.72,87.37,.,yes
SAMN03358829,USA,stool,PDT000149131.1,1/10/2006,3,PDS000112564.72,87.37,.,yes
SAMN04875528,India,human,PDT000198601.2,1996,3,PDS000112564.72,87.37,.,yes
SAMN09280057,,not collected,PDT000321088.1,2016,3,PDS000112564.72,87.37,.,yes
SAMN09280058,,not collected,PDT000321091.1,2016,2516,PDS000112534.14,87.37,.,yes
SAMN09280063,,not collected,PDT000321094.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN09280064,,not collected,PDT000321070.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN09280070,,not collected,PDT000321068.1,2018,3,PDS000112564.72,87.37,.,yes
SAMN03795177,Canada,Mollusc,PDT000081959.1,2010,88,,87.37,.,yes
SAMN16782994,"China:Guangdong, Shenzhen",stool sample,PDT000951487.1,2011,3,PDS000112564.72,87.37,.,yes
SAMN16782973,"China:Guangdong, Shenzhen",anal swab,PDT000951511.1,2010,216,PDS000080532.2,87.37,.,yes
SAMN16782969,"China:Guangdong, Shenzhen",stool sample,PDT000951512.1,2010,478,PDS000115797.1,87.37,.,yes
SAMN16782965,"China:Guangdong, Shenzhen",seafood,PDT000951513.1,2009,3,PDS000112564.72,87.37,.,yes
SAMN16782961,"China:Guangdong, Shenzhen",anal swab,PDT000951518.1,2008,3,PDS000112565.2,87.37,.,yes
SAMN16782960,"China:Guangdong, Shenzhen",,PDT000951519.1,2012,527,PDS000112508.1,87.37,.,yes
SAMN16782959,"China:Guangdong, Shenzhen",,PDT000951521.1,2012,527,,87.37,.,yes
SAMN16782956,"China:Guangdong, Shenzhen",stool sample,PDT000951523.1,2007,527,,87.37,.,yes
SAMN16782958,"China:Guangdong, Shenzhen",,PDT000951524.1,2012,8,,87.37,.,yes
SAMN16783388,"China:Guangdong, Shenzhen",,PDT000951533.1,2012,120,PDS000007529.8,87.37,.,yes
SAMN16782947,"China:Guangdong, Shenzhen",anal swab,PDT000951534.1,2008,8,PDS000049708.2,87.37,.,yes
SAMN16783389,"China:Guangdong, Shenzhen",stool sample,PDT000951536.1,2017,3,PDS000112564.72,87.37,.,yes
SAMN16783387,"China:Guangdong, Shenzhen",,PDT000951537.1,2015,2516,PDS000112534.14,87.37,.,yes
SAMN16783384,"China:Guangdong, Shenzhen",anal swabs,PDT000951538.1,2008,527,PDS000112510.1,87.37,.,yes
