file,QC_status,num_seqs,sum_len,min_len,avg_len,max_len,Scheme,MLST,allele1,allele2,allele3,allele4,allele5,allele6,allele7,K_Locus,O_Locus,Poppunk,Location
SAMN08965145,PASS,199,"6,038,758",204,"30,345.50","513,695",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA
SAMN09242527,PASS,149,"5,140,824",204,"34,502.20","396,272",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA
SAMN09074611,PASS,117,"5,185,789",201,"44,323","652,909",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA
SAMN26659666,PASS,110,"5,118,348",204,"46,530.40","692,764",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA:NJ
SAMN08965140,PASS,99,"5,139,610",204,"51,915.30","608,869",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA
SAMN08902707,PASS,96,"5,134,309",204,"53,482.40","806,942",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA
SAMN18528236,PASS,94,"5,117,706",201,"54,443.70","824,441",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA:NJ
SAMN08902738,PASS,94,"5,131,958",204,"54,595.30","626,014",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA
SAMN08902775,PASS,90,"5,134,339",204,"57,048.20","603,977",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA
SAMN13808684,PASS,89,"5,127,096",201,"57,607.80","845,839",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA
SAMN08469562,PASS,85,"5,126,034",204,"60,306.30","895,031",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA
SAMN09242511,PASS,70,"5,123,227",204,"73,189","806,921",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA
SAMN08469472,PASS,66,"5,125,171",223,"77,654.10","895,293",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL6,OL3_or_OL13,1,USA
SAMN18434347,PASS,104,"5,136,232",202,"49,386.80","740,973",vparahaemolyticus,3,dnaE(3),gyrB(4),recA(19),dtdS(4),pntA(29),pyrC(4),tnaA(22),KL68-1,OL4-1,1,China:Shanghai
SAMN27590325,PASS,76,"5,440,097",216,"71,580.20","2,055,220",vparahaemolyticus,6,dnaE(4),gyrB(13),recA(11),dtdS(38),pntA(18),pyrC(9),tnaA(23),KL129,OL3_or_OL13,21,USA
SAMN08965109,PASS,121,"5,549,416",218,"45,862.90","596,291",vparahaemolyticus,6,dnaE(4),gyrB(13),recA(11),dtdS(38),pntA(18),pyrC(9),tnaA(23),KL129,OL3_or_OL13,21,USA
SAMN08965162,PASS,91,"5,373,545",218,"59,049.90","617,143",vparahaemolyticus,6,dnaE(4),gyrB(13),recA(11),dtdS(38),pntA(18),pyrC(9),tnaA(23),KL129,OL3_or_OL13,21,USA
SAMN08965115,PASS,91,"5,378,690",218,"59,106.50","547,775",vparahaemolyticus,6,dnaE(4),gyrB(13),recA(11),dtdS(38),pntA(18),pyrC(9),tnaA(23),KL129,OL3_or_OL13,21,USA
SAMN13245812,PASS,74,"5,388,105",213,"72,812.20","2,021,765",vparahaemolyticus,6,dnaE(4),gyrB(13),recA(11),dtdS(38),pntA(18),pyrC(9),tnaA(23),KL129,OL3_or_OL13,21,USA
SAMN13245779,PASS,71,"5,388,284",206,"75,891.30","2,021,567",vparahaemolyticus,6,dnaE(4),gyrB(13),recA(11),dtdS(38),pntA(18),pyrC(9),tnaA(23),KL129,OL3_or_OL13,21,USA
SAMN13245800,PASS,62,"5,388,095",206,"86,904.80","2,021,555",vparahaemolyticus,6,dnaE(4),gyrB(13),recA(11),dtdS(38),pntA(18),pyrC(9),tnaA(23),KL129,OL3_or_OL13,21,USA
SAMN02741401,PASS,75,"5,137,996",201,"68,506.60","1,075,213",vparahaemolyticus,8,dnaE(28),gyrB(4),recA(82),dtdS(88),pntA(63),pyrC(69),tnaA(1),KL13,OL4,6,USA
SAMN02741400,PASS,72,"5,144,557",211,"71,452.20","1,522,466",vparahaemolyticus,8,dnaE(28),gyrB(4),recA(82),dtdS(88),pntA(63),pyrC(69),tnaA(1),KL13,OL4,6,USA
SAMN02741402,PASS,70,"5,144,587",211,"73,494.10","1,717,346",vparahaemolyticus,8,dnaE(28),gyrB(4),recA(82),dtdS(88),pntA(63),pyrC(69),tnaA(1),KL13,OL4,6,USA
SAMN02741399,PASS,60,"5,144,552",204,"85,742.50","1,717,239",vparahaemolyticus,8,dnaE(28),gyrB(4),recA(82),dtdS(88),pntA(63),pyrC(69),tnaA(1),KL13,OL4,6,USA
SAMN19796157,PASS,56,"5,058,783",208,"90,335.40","1,206,508",vparahaemolyticus,8,dnaE(28),gyrB(4),recA(82),dtdS(88),pntA(63),pyrC(69),tnaA(1),KL13,OL4,6,USA:NJ
SAMN18762046,PASS,54,"5,059,793",204,"93,699.90","1,758,907",vparahaemolyticus,8,dnaE(28),gyrB(4),recA(82),dtdS(88),pntA(63),pyrC(69),tnaA(1),KL13,OL4,6,USA:NJ
SAMN27591400,PASS,84,"5,285,302",206,"62,920.30","1,504,112",vparahaemolyticus,10,dnaE(7),gyrB(36),recA(4),dtdS(26),pntA(6),pyrC(18),tnaA(26),KLUT8,OL4,53,USA
SAMN18510950,PASS,97,"5,256,171",201,"54,187.30","633,040",vparahaemolyticus,10,dnaE(7),gyrB(36),recA(4),dtdS(26),pntA(6),pyrC(18),tnaA(26),KLUT8,OL4,53,USA:NJ
SAMN25285887,PASS,93,"5,255,236",201,"56,507.90","1,220,601",vparahaemolyticus,10,dnaE(7),gyrB(36),recA(4),dtdS(26),pntA(6),pyrC(18),tnaA(26),KLUT8,OL4,53,USA:NJ
SAMN18510949,PASS,93,"5,256,283",201,"56,519.20","935,465",vparahaemolyticus,10,dnaE(7),gyrB(36),recA(4),dtdS(26),pntA(6),pyrC(18),tnaA(26),KLUT8,OL4,53,USA:NJ
SAMN21578985,PASS,92,"5,334,734",207,"57,986.20","2,016,685",vparahaemolyticus,10,dnaE(7),gyrB(36),recA(4),dtdS(26),pntA(6),pyrC(18),tnaA(26),KLUT8,OL4,53,USA:NV
SAMN28093309,PASS,92,"5,334,734",207,"57,986.20","2,016,685",vparahaemolyticus,10,dnaE(7),gyrB(36),recA(4),dtdS(26),pntA(6),pyrC(18),tnaA(26),KLUT8,OL4,53,USA:NV
SAMN13809952,PASS,165,"5,140,282",204,"31,153.20","303,769",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL5,20,USA
SAMN08965190,PASS,107,"5,148,052",204,"48,112.60","357,087",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL5,20,USA
SAMN13207728,PASS,84,"5,163,370",208,"61,468.70","592,733",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL5,20,USA
SAMN08965187,PASS,79,"5,160,250",204,"65,319.60","389,620",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA
SAMN02368230,PASS,74,"5,125,598",200,"69,264.80","890,346",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA:TX
SAMN08965141,PASS,74,"5,164,532",204,"69,791","389,217",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL5,20,USA
SAMN08965173,PASS,66,"5,164,492",200,"78,249.90","470,552",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA
SAMN08965121,PASS,65,"5,247,016",204,"80,723.30","443,688",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA
SAMN13245786,PASS,64,"5,171,955",208,"80,811.80","1,764,066",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA
SAMN08965183,PASS,63,"5,166,347",204,"82,005.50","616,466",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA
SAMN13245809,PASS,61,"5,171,852",208,"84,784.50","1,764,090",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA
SAMN13245774,PASS,60,"5,171,378",208,"86,189.60","1,764,277",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA
SAMN13245792,PASS,56,"5,171,242",208,"92,343.60","1,301,288",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA
SAMN13245767,PASS,54,"5,171,799",208,"95,774.10","1,763,709",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA
SAMN25524172,PASS,54,"5,462,625",217,"101,159.70","1,879,953",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA:NJ
SAMN13245799,PASS,53,"5,170,515",208,"97,556.90","1,764,162",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA
SAMN20849619,PASS,50,"5,468,621",217,"109,372.40","1,043,005",vparahaemolyticus,12,dnaE(9),gyrB(21),recA(15),dtdS(13),pntA(4),pyrC(10),tnaA(26),KL17,OL14,20,USA:NJ
SAMN08469558,PASS,75,"5,099,202",214,"67,989.40","529,880",vparahaemolyticus,15,dnaE(12),gyrB(34),recA(25),dtdS(32),pntA(19),pyrC(12),tnaA(26),KL9,OL1,471,USA
SAMN27646131,PASS,103,"4,985,426",200,"48,402.20","553,211",vparahaemolyticus,22,dnaE(17),gyrB(37),recA(6),dtdS(28),pntA(21),pyrC(28),tnaA(7),KL143,OL6,52,USA
SAMN27591401,PASS,102,"4,985,018",200,"48,872.70","716,897",vparahaemolyticus,22,dnaE(17),gyrB(37),recA(6),dtdS(28),pntA(21),pyrC(28),tnaA(7),KL143,OL6,52,USA
SAMN13808694,PASS,155,"5,900,592",202,"38,068.30","490,016",vparahaemolyticus,22,dnaE(17),gyrB(37),recA(6),dtdS(28),pntA(21),pyrC(28),tnaA(7),KL56,OL1-1,52,USA
SAMN09296185,PASS,89,"4,968,579",202,"55,826.70","710,147",vparahaemolyticus,22,dnaE(17),gyrB(37),recA(6),dtdS(28),pntA(21),pyrC(28),tnaA(7),KL143,OL6,52,USA
SAMN02368233,PASS,126,"5,133,768",200,"40,744.20","375,365",vparahaemolyticus,23,dnaE(17),gyrB(16),recA(13),dtdS(36),pntA(15),pyrC(31),tnaA(26),KL54,OL1,54,USA:FL
SAMN02368234,PASS,118,"5,131,476",200,"43,487.10","473,687",vparahaemolyticus,23,dnaE(17),gyrB(16),recA(13),dtdS(36),pntA(15),pyrC(31),tnaA(26),KL54,OL1,54,USA:LA
SAMN27591396,PASS,116,"5,154,082",201,"44,431.70","1,811,472",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL113,OL3_or_OL13,16,USA
SAMN12784254,PASS,189,"5,082,316",214,"26,890.60","198,775",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL143,OL3_or_OL13,16,USA
SAMN18509469,PASS,159,"5,325,877",204,"33,496.10","278,188",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL113,OL3_or_OL13,16,USA:NJ
SAMN14066391,PASS,123,"5,109,931",201,"41,544.20","526,618",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL143,OL3_or_OL13,16,USA
SAMN13808837,PASS,107,"5,020,550",204,"46,921","526,514",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL113,OL3_or_OL13,16,USA
SAMN13808836,PASS,97,"5,022,789",204,"51,781.30","607,200",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL113,OL3_or_OL13,16,USA
SAMN08965180,PASS,93,"5,107,452",218,"54,918.80","464,493",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL143,OL3_or_OL13,16,USA
SAMN13283500,PASS,88,"5,035,407",205,"57,220.50","650,463",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL113,OL3_or_OL13,16,USA
SAMN13809951,PASS,88,"5,114,149",204,"58,115.30","634,051",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL143,OL3_or_OL13,16,USA
SAMN02368236,PASS,85,"5,045,283",208,"59,356.30","570,025",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL113,OL3_or_OL13,16,USA:LA
SAMN08965138,PASS,84,"5,028,783",204,"59,866.50","550,748",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL113,OL3_or_OL13,16,USA
SAMN13245782,PASS,75,"5,038,669",202,"67,182.30","1,012,496",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL113,OL3_or_OL13,16,USA
SAMN13283475,PASS,67,"5,120,663",223,"76,427.80","1,155,502",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL143,OL3_or_OL13,16,USA
SAMN09839642,PASS,60,"5,017,313",204,"83,621.90","1,174,545",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL143,OL3_or_OL13,16,USA
SAMN09827888,PASS,58,"5,095,270",204,"87,849.50","818,288",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL25,OL3_or_OL13,16,USA:NY
SAMN09818936,PASS,57,"5,153,814",204,"90,417.80","780,229",vparahaemolyticus,28,dnaE(17),gyrB(16),recA(13),dtdS(7),pntA(24),pyrC(16),tnaA(20),KL113,OL3_or_OL13,16,USA:NY
SAMN02368231,PASS,120,"5,064,848",205,"42,207.10","566,646",vparahaemolyticus,32,dnaE(20),gyrB(25),recA(15),dtdS(6),pntA(7),pyrC(11),tnaA(4),KL8,OL4,56,USA:NJ
SAMN02368226,PASS,116,"5,051,314",203,"43,545.80","566,647",vparahaemolyticus,32,dnaE(20),gyrB(25),recA(15),dtdS(6),pntA(7),pyrC(11),tnaA(4),KL8,OL4,56,USA:LA
SAMN02368238,PASS,116,"5,065,162",201,"43,665.20","566,646",vparahaemolyticus,32,dnaE(20),gyrB(25),recA(15),dtdS(6),pntA(7),pyrC(11),tnaA(4),KL8,OL4,56,USA:AL
SAMN19918808,PASS,85,"5,093,961",203,"59,929","1,237,986",vparahaemolyticus,32,dnaE(20),gyrB(25),recA(15),dtdS(6),pntA(7),pyrC(11),tnaA(4),KL8,OL4,56,USA:NJ
SAMN27590319,PASS,88,"5,163,748",202,"58,679","1,223,569",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN27646129,PASS,88,"5,172,684",205,"58,780.50","1,034,894",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN27590640,PASS,87,"5,143,225",205,"59,117.50","1,223,598",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN27646142,PASS,86,"5,169,284",204,"60,108","1,248,042",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN32316486,PASS,84,"5,167,898",204,"61,522.60","1,248,048",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN33214616,PASS,82,"5,142,239",205,"62,710.20","1,223,598",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN32316488,PASS,81,"5,168,369",205,"63,807","1,248,003",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN27591388,PASS,80,"5,057,404",205,"63,217.60","1,771,446",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN27646143,PASS,79,"5,057,537",205,"64,019.50","1,223,628",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN27590331,PASS,79,"5,068,299",200,"64,155.70","1,177,881",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN33843932,PASS,79,"5,168,974",205,"65,430.10","1,248,003",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN32316487,PASS,78,"5,167,957",205,"66,255.90","1,248,003",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN32316484,PASS,78,"5,168,746",204,"66,266","1,795,874",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN27646146,PASS,77,"5,056,903",211,"65,674.10","1,177,829",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN33426079,PASS,76,"5,056,746",203,"66,536.10","1,223,576",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN32316485,PASS,68,"5,166,735",204,"75,981.40","1,248,003",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN02368228,PASS,90,"5,043,229",201,"56,035.90","567,121",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA:FL
SAMN02741394,PASS,81,"5,083,164",205,"62,755.10","1,150,630",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,USA
SAMN06917270,PASS,79,"5,053,402",205,"63,967.10","669,024",vparahaemolyticus,34,dnaE(20),gyrB(25),recA(15),dtdS(13),pntA(7),pyrC(11),tnaA(5),KL9,OL4,14,0
SAMN27646134,PASS,68,"5,142,135",202,"75,619.60","781,705",vparahaemolyticus,36,dnaE(21),gyrB(15),recA(1),dtdS(23),pntA(23),pyrC(21),tnaA(16),KL12,OL4,2,USA
